Sentence,Technique,Span,article_id,active,euphimism,details,exaggeration,bragging,litote,repetition,metaphor,he said,apparent denial,apparent concession,blame transfer,other kinds,opinion,irony
"And here's J Street trying to decide whether to stop endorsing a Democrat who pals around with Farrakhan and defended him by mentioning the ""Jewish question.""",Slogans,Jewish question,737255982,,,,,,,,,,,,,,,
And how deeply has America been compromised?,Flag-Waving,how deeply has America been compromised,769427494,,,,,,,,,,,,,,,
And how many other evil pastors is Francis still continuing to prop up in their active destruction of the Church!,Loaded_Language,their active destruction of the Church,783702663,,,,,,,,,,,,,,,
And how many other evil pastors is Francis still continuing to prop up in their active destruction of the Church!,"Name_Calling,Labeling",evil pastors,783702663,,,,,,,,,,,,,,,
"And how was such a depraved individual ordained in the first place, let alone promoted to Cardinal-Archbishop of Washington?",Loaded_Language,depraved,782017101,,,,,,,,,,,,,,,
"And if He is God, we must give Him the adoration of God.",Appeal_to_fear-prejudice,"And if He is God, we must give Him the adoration of God",728972961,,,,,,,,,,,,,,,
"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.","Name_Calling,Labeling",Trumpism,761610997,,,,,,,,,,,,,,,
"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Black-and-White_Fallacy,"if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like",761610997,,,,,,,,,,,,,,,
"And if so, could we have been this wrong?",Doubt,"And if so, could we have been this wrong",738207834,,,,,,,,,,,,,,,
"And if the episcopal retort is going to be that this acceptance refers only to chaste homosexuals, then we call FOUL even louder since this crosses the line into willful deception.",Loaded_Language,we call FOUL even louder,778664280,,,,,,,,,,,,,,,
"And if the episcopal retort is going to be that this acceptance refers only to chaste homosexuals, then we call FOUL even louder since this crosses the line into willful deception.",Loaded_Language,willful deception,778664280,,,,,,,,,,,,,,,
"And if the reforms are bad, then it is impossible that the Council is good and all the reforms are bad, because that is the authentic interpretation of the Council by Rome.",Causal_Oversimplification,"if the reforms are bad, then it is impossible that the Council is good and all the reforms are bad, because that is the authentic interpretation of the Council by Rome",728972961,,,,,,,,,,,,,,,
"And if they can't whitewash this, they'll ignore it.",Black-and-White_Fallacy,"And if they can't whitewash this, they'll ignore it",735815173,,,,,,,,,,,,,,,
"And in the application process, he lied to military recruiters about a recent trip he'd taken to Jordan in a failed attempt to make contact with the Islamic State and join a ""real Muslim Army,"" the documents said.",Doubt,"in the application process, he lied to military recruiters about a recent trip he'd taken to Jordan in a failed attempt to make contact with the Islamic State and join a ""real Muslim Army",729348908,,,,,,,,,,,,,,,
"And indeed, far from being an isolated “prisoner of the Vatican,” Benedict has received many guests all of whom report that, though frail, he appears content and never utters a word of criticism.","Name_Calling,Labeling",prisoner of the Vatican,738207834,,,,,,,,,,,,,,,
"And instead of protesting the murder of 58 million innocent babies (Proverbs 6:17), they merely pass it off as a ""choice,"" that being the lessons that they learned from the media that they say that they do not believe (Romans 1:18).
The American Church, instead of protesting corruption in government through the example of the Biblical patriarchs and our American forefathers (Matthew 5:17-18), teach to submit to tyranny as if to suggest that it is somehow obedience to God (Romans 12:21).",Doubt,"And instead of protesting the murder of 58 million innocent babies (Proverbs 6:17), they merely pass it off as a ""choice,"" that being the lessons that they learned from the media that they say that they do not believe (Romans 1:18).
The American Church, instead of protesting corruption in government through the example of the Biblical patriarchs and our American forefathers (Matthew 5:17-18), teach to submit to tyranny as if to suggest that it is somehow obedience to God (Romans 12:21",781768042,,,,,,,,,,,,,,,
"And it did not allow Iran access to US investments or markets.""",Repetition,it did not allow,762200179,,,,,,,,,,,,,,,
"And it gets even worse: “The investigation, published Wednesday by the House Permanent Subcommittee on Investigations, further discloses secret efforts by top Obama administration officials to assure European countries they would receive a pass from U.S. sanctions if they engaged in business with Iran.”","Exaggeration,Minimisation",even worse,762340819,,,,,,,,,,,,,,,
"And it is precisely this “intense and fruitful path” taken by nearly all the Catholic world’s monastics since 1965 that Cor orans is attempting to force on the very, very few holdouts.",Repetition,intense and fruitful path,759478604,,,,,,,,,,,,,,,
"And it isn’t that anyone is putting this past a government to lie for profits, but health officials have even warned tourists, a source of money, to stay away from Madagascar for their own health.",Doubt,it isn’t that anyone is putting this past a government to lie for profits,701447437,,,,,,,,,,,,,,,
And it looks extremely bad.,Loaded_Language,extremely bad,703698295,,,,,,,,,,,,,,,
"And it seems clear from the way it was done, and the way Francis treated Muller in general, that he was indeed got rid of.",Repetition,got rid of,703698295,,,,,,,,,,,,,,,
"And it won’t bring down the regime which by its nature ensures all of these things will remain a menace to the US, its allies and international security as a whole.",Appeal_to_fear-prejudice,"a menace to the US, its allies and international security as a whole",699142854,,,,,,,,,,,,,,,
"And it won’t bring down the regime which by its nature ensures all of these things will remain a menace to the US, its allies and international security as a whole.",Repetition,it won’t bring,699142854,,,,,,,,,,,,,,,
And it’s a crisis of epic proportions.,"Exaggeration,Minimisation",crisis of epic proportions,700662577,,,,,,,,,,,,,,,
And it’s a problem not just in West Virginia – it’s a national problem.,Flag-Waving,a national problem,758756657,,,,,,,,,,,,,,,
"And it’s not an exaggeration to say that this is a real threat – a ticking time bomb that’s waiting to decimate the world,” Conroy continued.",Appeal_to_fear-prejudice,a ticking time bomb that’s waiting to decimate the world,706777811,,,,,,,,,,,,,,,
"And just as a synod was employed to address three rival claimants to the papal throne in 1046, declaring at least two of them deposed, so today might it be possible for reform-minded cardinals and bishops, comprising an imperfect council, to undo the incalculable damage caused by the cabal that lobbied for Bergoglio’s election before the last conclave—a cabal that included none other than McCarrick, whom Bergoglio rewarded by rehabilitating that monster despite the massive evidence of his unspeakable crimes.","Exaggeration,Minimisation",the incalculable damage,788056108,,,,,,,,,,,,,,,
"And just as a synod was employed to address three rival claimants to the papal throne in 1046, declaring at least two of them deposed, so today might it be possible for reform-minded cardinals and bishops, comprising an imperfect council, to undo the incalculable damage caused by the cabal that lobbied for Bergoglio’s election before the last conclave—a cabal that included none other than McCarrick, whom Bergoglio rewarded by rehabilitating that monster despite the massive evidence of his unspeakable crimes.","Name_Calling,Labeling",that monster,788056108,,,,,,,,,,,,,,,
"And just as a synod was employed to address three rival claimants to the papal throne in 1046, declaring at least two of them deposed, so today might it be possible for reform-minded cardinals and bishops, comprising an imperfect council, to undo the incalculable damage caused by the cabal that lobbied for Bergoglio’s election before the last conclave—a cabal that included none other than McCarrick, whom Bergoglio rewarded by rehabilitating that monster despite the massive evidence of his unspeakable crimes.","Exaggeration,Minimisation",the massive evidence of his unspeakable crimes,788056108,,,,,,,,,,,,,,,
"And just as a synod was employed to address three rival claimants to the papal throne in 1046, declaring at least two of them deposed, so today might it be possible for reform-minded cardinals and bishops, comprising an imperfect council, to undo the incalculable damage caused by the cabal that lobbied for Bergoglio’s election before the last conclave—a cabal that included none other than McCarrick, whom Bergoglio rewarded by rehabilitating that monster despite the massive evidence of his unspeakable crimes.",Loaded_Language,unspeakable,788056108,,,,,,,,,,,,,,,
